"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Justin Holiday",3000,"NY@GS 10:30PM ET",14.120,"NY"
"PG/SG","Ian Clark",3000,"NY@GS 10:30PM ET",11.457,"GS"
"PG","Shaun Livingston",3000,"NY@GS 10:30PM ET",10.570,"GS"
"SG/SF","Patrick McCaw",3000,"NY@GS 10:30PM ET",7.857,"GS"
"SG","Sasha Vujacic",3000,"NY@GS 10:30PM ET",5.633,"NY"
"SG","Ron Baker",3000,"NY@GS 10:30PM ET",5.571,"NY"
"SF/PF","Lance Thomas",3000,"NY@GS 10:30PM ET",9.267,"NY"
"SF","Mindaugas Kuzminskas",3000,"NY@GS 10:30PM ET",8.333,"NY"
"PF","David West",3000,"NY@GS 10:30PM ET",11.615,"GS"
"PF","James Michael McAdoo",3000,"NY@GS 10:30PM ET",3.545,"GS"
"PF","Maurice Ndour",3000,"NY@GS 10:30PM ET",4.932,"NY"
"PF","Kevon Looney",3000,"NY@GS 10:30PM ET",8.034,"GS"
"C","Anderson Varejao",3000,"NY@GS 10:30PM ET",6.429,"GS"
"C","Marshall Plumlee",3000,"NY@GS 10:30PM ET",7.500,"NY"
"C","Damian Jones",3000,"NY@GS 10:30PM ET",-1.000,"GS"
"C","Guillermo Hernangomez",3000,"NY@GS 10:30PM ET",13.775,"NY"
"PG","Aaron Brooks",3000,"Ind@NO 08:00PM ET",11.750,"Ind"
"SG","Reggie Williams",3000,"Ind@NO 08:00PM ET",12.583,"NO"
"SG","Joe Young",3000,"Ind@NO 08:00PM ET",5.917,"Ind"
"SF/PF","Dante Cunningham",3000,"Ind@NO 08:00PM ET",14.050,"NO"
"SF","Quincy Pondexter",3000,"Ind@NO 08:00PM ET",0,"NO"
"PF","Lavoy Allen",3000,"Ind@NO 08:00PM ET",8.193,"Ind"
"PF","Rakeem Christmas",3000,"Ind@NO 08:00PM ET",3.417,"Ind"
"PF","Georges Niang",3000,"Ind@NO 08:00PM ET",2.712,"Ind"
"PF","Cheick Diallo",3000,"Ind@NO 08:00PM ET",12.563,"NO"
"C","Alexis Ajinca",3000,"Ind@NO 08:00PM ET",10.661,"NO"
"C","Omer Asik",3000,"Ind@NO 08:00PM ET",12.550,"NO"
"C","Kevin Seraphin",3000,"Ind@NO 08:00PM ET",10.792,"Ind"
"PG","Nicolas Laprovittola",3000,"SA@Pho 09:00PM ET",7.317,"SA"
"PG","Bryn Forbes",3000,"SA@Pho 09:00PM ET",1.727,"SA"
"PG","Tyler Ulis",3000,"SA@Pho 09:00PM ET",8.804,"Pho"
"PG","Dejounte Murray",3000,"SA@Pho 09:00PM ET",2.773,"SA"
"SG/SF","Jonathon Simmons",3000,"SA@Pho 09:00PM ET",13.200,"SA"
"SG","John Jenkins",3000,"SA@Pho 09:00PM ET",2.250,"Pho"
"SG","Kyle Anderson",3000,"SA@Pho 09:00PM ET",8.943,"SA"
"SF/PF","Davis Bertans",3000,"SA@Pho 09:00PM ET",7.613,"SA"
"SF","Derrick Jones Jr.",3000,"SA@Pho 09:00PM ET",0.000,"Pho"
"PF","Dragan Bender",3000,"SA@Pho 09:00PM ET",6.100,"Pho"
"C","Alan Williams",3000,"SA@Pho 09:00PM ET",12.472,"Pho"
